scenario,model,score_clean_train,score_aug_train,delta_score
clean,cnn_joint,0.8334833979606628,0.8532853722572327,0.019801974296569824
dropout_0.05,cnn_joint,0.7695769667625427,0.8316832184791565,0.06210625171661377
dropout_0.10,cnn_joint,0.7092709541320801,0.8118811845779419,0.10261023044586182
dropout_0.15,cnn_joint,0.6210620999336243,0.7560756206512451,0.13501352071762085
dropout_0.20,cnn_joint,0.5841584205627441,0.7389739155769348,0.15481549501419067
dropout_0.25,cnn_joint,0.4968496859073639,0.7200720310211182,0.22322234511375427
dropout_0.30,cnn_joint,0.45004501938819885,0.6813681721687317,0.23132315278053284
dropout_0.35,cnn_joint,0.4014401435852051,0.6210620999336243,0.2196219563484192
dropout_0.40,cnn_joint,0.3321332335472107,0.5742574334144592,0.24212419986724854
dropout_0.45,cnn_joint,0.2601260244846344,0.5067507028579712,0.2466246783733368
dropout_0.50,cnn_joint,0.24842484295368195,0.466246634721756,0.21782179176807404
dropout_0.60,cnn_joint,0.17731773853302002,0.369937002658844,0.19261926412582397
drop0.25_bias3_noise1,cnn_joint,0.5319532155990601,0.7110711336135864,0.17911791801452637
drop0.35_bias4_noise2,cnn_joint,0.3861386179924011,0.6336633563041687,0.24752473831176758
drop0.40_bias5_noise3,cnn_joint,0.31413140892982483,0.5634563565254211,0.2493249475955963
drop0.15_bias6_noise0,cnn_joint,0.6444644331932068,0.7875787615776062,0.14311432838439941
bias5_only,cnn_joint,0.8181818127632141,0.8361836671829224,0.018001854419708252
noise3_only,cnn_joint,0.8325833082199097,0.8316832184791565,-0.0009000897407531738
clean,cnn_multitask,0.8262826282628263,0.8433843384338434,0.017101710171017137
dropout_0.05,cnn_multitask,0.7434743474347435,0.8208820882088209,0.07740774077407742
dropout_0.10,cnn_multitask,0.693069306930693,0.8145814581458146,0.1215121512151216
dropout_0.15,cnn_multitask,0.6057605760576058,0.774077407740774,0.16831683168316824
dropout_0.20,cnn_multitask,0.5292529252925292,0.7461746174617462,0.21692169216921697
dropout_0.25,cnn_multitask,0.46984698469846986,0.72997299729973,0.2601260126012601
dropout_0.30,cnn_multitask,0.43114311431143115,0.6903690369036903,0.2592259225922592
dropout_0.35,cnn_multitask,0.36723672367236726,0.639063906390639,0.2718271827182718
dropout_0.40,cnn_multitask,0.29432943294329433,0.5706570657065707,0.2763276327632764
dropout_0.45,cnn_multitask,0.23672367236723674,0.5184518451845185,0.28172817281728174
dropout_0.50,cnn_multitask,0.21692169216921692,0.48694869486948694,0.27002700270027
dropout_0.60,cnn_multitask,0.15121512151215122,0.36543654365436545,0.21422142214221424
drop0.25_bias3_noise1,cnn_multitask,0.48424842484248426,0.7191719171917191,0.23492349234923487
drop0.35_bias4_noise2,cnn_multitask,0.3546354635463546,0.648964896489649,0.29432943294329433
drop0.40_bias5_noise3,cnn_multitask,0.29162916291629165,0.5688568856885688,0.2772277227722772
drop0.15_bias6_noise0,cnn_multitask,0.6048604860486049,0.774977497749775,0.1701170117011701
bias5_only,cnn_multitask,0.7875787578757876,0.8370837083708371,0.04950495049504955
noise3_only,cnn_multitask,0.819081908190819,0.8271827182718272,0.008100810081008158
clean,cnn_coordinate,-42.68575638101444,-44.18220480308251,-1.4964484220680703
dropout_0.05,cnn_coordinate,-51.599854906202104,-47.24080389360697,4.359051012595131
dropout_0.10,cnn_coordinate,-60.46813573103635,-49.689001123690375,10.779134607345974
dropout_0.15,cnn_coordinate,-75.59262524457506,-55.80856333199895,19.784061912576114
dropout_0.20,cnn_coordinate,-83.93824291377827,-59.368048610408785,24.570194303369483
dropout_0.25,cnn_coordinate,-93.52923805960528,-63.276254534459554,30.252983525145723
dropout_0.30,cnn_coordinate,-99.23679794754712,-65.80591482347315,33.43088312407397
dropout_0.35,cnn_coordinate,-112.99569476107187,-75.64906951279212,37.34662524827975
dropout_0.40,cnn_coordinate,-123.22261196280022,-83.81996128172835,39.40265068107186
