scenario,cnn_coordinate,cnn_joint,cnn_multitask,lstm_coordinate,lstm_joint,lstm_multitask
bias5_only,-1.4667130336409642,0.018001854419708252,0.04950495049504955,0.9093882941537412,0.010801076889038086,-0.0027002700270026825
clean,-1.4964484220680703,0.019801974296569824,0.017101710171017137,1.220189608400327,0.008100807666778564,-0.0018001800180017513
drop0.15_bias6_noise0,16.213175241484052,0.14311432838439941,0.1701170117011701,2.502271141152729,0.03330332040786743,0.03060306030603055
drop0.25_bias3_noise1,27.539400900347637,0.17911791801452637,0.23492349234923487,4.884804368749533,0.053105294704437256,0.06930693069306937
drop0.35_bias4_noise2,37.329684861325404,0.24752473831176758,0.29432943294329433,6.113102503801253,0.08010798692703247,0.0864086408640864
drop0.40_bias5_noise3,38.87079310825905,0.2493249475955963,0.2772277227722772,7.219998369861994,0.10531055927276611,0.12961296129612954
dropout_0.05,4.359051012595131,0.06210625171661377,0.07740774077407742,1.988675367962907,0.024302423000335693,0.013501350135013523
dropout_0.10,10.779134607345974,0.10261023044586182,0.1215121512151216,2.967819017709175,0.04050403833389282,0.01980198019801982
dropout_0.15,19.784061912576114,0.13501352071762085,0.16831683168316824,3.6929948211931016,0.054905474185943604,0.04770477047704769
dropout_0.20,24.570194303369483,0.15481549501419067,0.21692169216921697,4.486352009982104,0.05130511522293091,0.045904590459045935
dropout_0.25,30.252983525145723,0.22322234511375427,0.2601260126012601,5.258984187746815,0.07110708951950073,0.0765076507650766
dropout_0.30,33.43088312407397,0.23132315278053284,0.2592259225922592,5.906288284269225,0.09180915355682373,0.07830783078307835
dropout_0.35,37.34662524827975,0.2196219563484192,0.2718271827182718,6.679247222802408,0.0990099310874939,0.0864086408640864
dropout_0.40,39.40265068107186,0.24212419986724854,0.2763276327632764,9.020740586154856,0.09720975160598755,0.12691269126912685
dropout_0.45,44.12188958554836,0.2466246783733368,0.28172817281728174,9.770393780789144,0.10621064901351929,0.12151215121512149
dropout_0.50,44.242841244163216,0.21782179176807404,0.27002700270027,11.20974603112779,0.09630966186523438,0.13681368136813687
dropout_0.60,39.814877012389545,0.19261926412582397,0.21422142214221424,13.704457679473506,0.10891085863113403,0.1188118811881188
noise3_only,-2.936878949846502,-0.0009000897407531738,0.008100810081008158,1.1023690810720836,0.013501346111297607,-0.007200720072007116
