scenario,score,joint_accuracy,building_accuracy,floor_accuracy,eval_loss,model,train_regime,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
clean,0.8532853722572327,0.8532853722572327,0.9657965898513794,0.8649865388870239,0.5923516915576292,cnn_joint,aug_train,,,,
dropout_0.05,0.8316832184791565,0.8316832184791565,0.9558956027030945,0.8460846543312073,0.6368565879138497,cnn_joint,aug_train,,,,
dropout_0.10,0.8118811845779419,0.8118811845779419,0.9360936284065247,0.8262826204299927,0.6985596211829989,cnn_joint,aug_train,,,,
dropout_0.15,0.7560756206512451,0.7560756206512451,0.9072907567024231,0.7767776846885681,0.878050203585174,cnn_joint,aug_train,,,,
dropout_0.20,0.7389739155769348,0.7389739155769348,0.8919892311096191,0.7641764283180237,0.9505103872661436,cnn_joint,aug_train,,,,
dropout_0.25,0.7200720310211182,0.7200720310211182,0.8838884234428406,0.7479748129844666,1.0428805566928496,cnn_joint,aug_train,,,,
dropout_0.30,0.6813681721687317,0.6813681721687317,0.8667867183685303,0.7128713130950928,1.1378935699952175,cnn_joint,aug_train,,,,
dropout_0.35,0.6210620999336243,0.6210620999336243,0.8316832184791565,0.6615661978721619,1.4079626388747235,cnn_joint,aug_train,,,,
dropout_0.40,0.5742574334144592,0.5742574334144592,0.7785778641700745,0.6345634460449219,1.5893800782256036,cnn_joint,aug_train,,,,
dropout_0.45,0.5067507028579712,0.5067507028579712,0.7416741847991943,0.5643564462661743,1.7747240718906792,cnn_joint,aug_train,,,,
dropout_0.50,0.466246634721756,0.466246634721756,0.7128713130950928,0.5283528566360474,1.8915146839286057,cnn_joint,aug_train,,,,
dropout_0.60,0.369937002658844,0.369937002658844,0.6426642537117004,0.4518451988697052,2.300187222706531,cnn_joint,aug_train,,,,
drop0.25_bias3_noise1,0.7110711336135864,0.7110711336135864,0.8865886926651001,0.7371737360954285,1.0366806912057362,cnn_joint,aug_train,,,,
drop0.35_bias4_noise2,0.6336633563041687,0.6336633563041687,0.8190819025039673,0.6714671850204468,1.3928314707066753,cnn_joint,aug_train,,,,
drop0.40_bias5_noise3,0.5634563565254211,0.5634563565254211,0.7920792102813721,0.6075607538223267,1.6658848452203237,cnn_joint,aug_train,,,,
drop0.15_bias6_noise0,0.7875787615776062,0.7875787615776062,0.9369937181472778,0.8028802871704102,0.7861868904368712,cnn_joint,aug_train,,,,
bias5_only,0.8361836671829224,0.8361836671829224,0.9549955129623413,0.84968501329422,0.615242225859854,cnn_joint,aug_train,,,,
noise3_only,0.8316832184791565,0.8316832184791565,0.958595871925354,0.8442844748497009,0.6742241481850536,cnn_joint,aug_train,,,,
clean,0.8433843384338434,0.8433843384338434,0.9621962308883667,0.8622862696647644,0.7902913595726638,cnn_multitask,aug_train,,,,
dropout_0.05,0.8208820882088209,0.8208820882088209,0.9495949745178223,0.8433843851089478,0.8328175689056047,cnn_multitask,aug_train,,,,
dropout_0.10,0.8145814581458146,0.8145814581458146,0.9477947950363159,0.8334833979606628,0.9060308865123134,cnn_multitask,aug_train,,,,
dropout_0.15,0.774077407740774,0.774077407740774,0.9279928207397461,0.8028802871704102,1.081254621972703,cnn_multitask,aug_train,,,,
dropout_0.20,0.7461746174617462,0.7461746174617462,0.9189919233322144,0.7731773257255554,1.1838456580061616,cnn_multitask,aug_train,,,,
dropout_0.25,0.72997299729973,0.72997299729973,0.9063906669616699,0.7641764283180237,1.2957741173401702,cnn_multitask,aug_train,,,,
dropout_0.30,0.6903690369036903,0.6903690369036903,0.8649865388870239,0.7326732873916626,1.5153743295815483,cnn_multitask,aug_train,,,,
dropout_0.35,0.639063906390639,0.639063906390639,0.855085551738739,0.6840684413909912,1.700409394250487,cnn_multitask,aug_train,,,,
