scenario,score,joint_accuracy,building_accuracy,floor_accuracy,eval_loss,model,train_regime,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
clean,0.8334833979606628,0.8334833979606628,0.9540954232215881,0.8433843851089478,0.9225970342500482,cnn_joint,clean_train,,,,
dropout_0.05,0.7695769667625427,0.7695769667625427,0.9198920130729675,0.7857785820960999,1.3429676913442534,cnn_joint,clean_train,,,,
dropout_0.10,0.7092709541320801,0.7092709541320801,0.8784878849983215,0.7407740950584412,1.8390808062549113,cnn_joint,clean_train,,,,
dropout_0.15,0.6210620999336243,0.6210620999336243,0.8235823512077332,0.6732673645019531,2.4747574872309617,cnn_joint,clean_train,,,,
dropout_0.20,0.5841584205627441,0.5841584205627441,0.7830783128738403,0.6471647620201111,3.137532093630086,cnn_joint,clean_train,,,,
dropout_0.25,0.4968496859073639,0.4968496859073639,0.7155715823173523,0.58865886926651,3.6596245602591417,cnn_joint,clean_train,,,,
dropout_0.30,0.45004501938819885,0.45004501938819885,0.6966696977615356,0.5256525874137878,4.372626783180409,cnn_joint,clean_train,,,,
dropout_0.35,0.4014401435852051,0.4014401435852051,0.6435643434524536,0.4959495961666107,5.0002302127738565,cnn_joint,clean_train,,,,
dropout_0.40,0.3321332335472107,0.3321332335472107,0.5652565360069275,0.4554455578327179,5.721130216153863,cnn_joint,clean_train,,,,
dropout_0.45,0.2601260244846344,0.2601260244846344,0.5292529463768005,0.3771377205848694,6.4071946993912805,cnn_joint,clean_train,,,,
dropout_0.50,0.24842484295368195,0.24842484295368195,0.4788478910923004,0.369937002658844,6.802514412293662,cnn_joint,clean_train,,,,
dropout_0.60,0.17731773853302002,0.17731773853302002,0.41944196820259094,0.3114311397075653,7.569109908532281,cnn_joint,clean_train,,,,
drop0.25_bias3_noise1,0.5319532155990601,0.5319532155990601,0.7470747232437134,0.6057605743408203,3.4899954583385204,cnn_joint,clean_train,,,,
drop0.35_bias4_noise2,0.3861386179924011,0.3861386179924011,0.6345634460449219,0.486948698759079,5.103400038127744,cnn_joint,clean_train,,,,
drop0.40_bias5_noise3,0.31413140892982483,0.31413140892982483,0.5742574334144592,0.4275427758693695,6.039097181641229,cnn_joint,clean_train,,,,
drop0.15_bias6_noise0,0.6444644331932068,0.6444644331932068,0.8487849235534668,0.6867687106132507,2.2357886090780785,cnn_joint,clean_train,,,,
bias5_only,0.8181818127632141,0.8181818127632141,0.9567956924438477,0.8271827101707458,0.932982219971589,cnn_joint,clean_train,,,,
noise3_only,0.8325833082199097,0.8325833082199097,0.9549955129623413,0.8424842953681946,0.9905657104068142,cnn_joint,clean_train,,,,
clean,0.8262826282628263,0.8262826282628263,0.9666966795921326,0.8397840261459351,1.1307646652044852,cnn_multitask,clean_train,,,,
dropout_0.05,0.7434743474347435,0.7434743474347435,0.9216921925544739,0.7740774154663086,1.7225437712604994,cnn_multitask,clean_train,,,,
dropout_0.10,0.693069306930693,0.693069306930693,0.8820882439613342,0.7416741847991943,2.231129175043664,cnn_multitask,clean_train,,,,
dropout_0.15,0.6057605760576058,0.6057605760576058,0.8289828896522522,0.6741674542427063,3.0465821809966105,cnn_multitask,clean_train,,,,
dropout_0.20,0.5292529252925292,0.5292529252925292,0.7713771462440491,0.6219621896743774,3.8515926707874644,cnn_multitask,clean_train,,,,
dropout_0.25,0.46984698469846986,0.46984698469846986,0.7227723002433777,0.5760576128959656,4.664960595533507,cnn_multitask,clean_train,,,,
dropout_0.30,0.43114311431143115,0.43114311431143115,0.6966696977615356,0.5310531258583069,5.156001127055912,cnn_multitask,clean_train,,,,
dropout_0.35,0.36723672367236726,0.36723672367236726,0.6192619204521179,0.49504950642585754,6.22415697628265,cnn_multitask,clean_train,,,,
dropout_0.40,0.29432943294329433,0.29432943294329433,0.5607560873031616,0.4347434937953949,7.1150376704445195,cnn_multitask,clean_train,,,,
dropout_0.45,0.23672367236723674,0.23672367236723674,0.5022502541542053,0.390639066696167,7.966925544635762,cnn_multitask,clean_train,,,,
dropout_0.50,0.21692169216921692,0.21692169216921692,0.46354636549949646,0.35823583602905273,8.909610457295882,cnn_multitask,clean_train,,,,
dropout_0.60,0.15121512151215122,0.15121512151215122,0.41134113073349,0.2952295243740082,9.562525422158915,cnn_multitask,clean_train,,,,
drop0.25_bias3_noise1,0.48424842484248426,0.48424842484248426,0.7353735566139221,0.5904590487480164,4.5881570941365375,cnn_multitask,clean_train,,,,
drop0.35_bias4_noise2,0.3546354635463546,0.3546354635463546,0.6309630870819092,0.4761476218700409,6.830517991612775,cnn_multitask,clean_train,,,,
drop0.40_bias5_noise3,0.29162916291629165,0.29162916291629165,0.5652565360069275,0.41944196820259094,7.724730880490087,cnn_multitask,clean_train,,,,
drop0.15_bias6_noise0,0.6048604860486049,0.6048604860486049,0.8514851927757263,0.6651665568351746,2.9825635149498226,cnn_multitask,clean_train,,,,
bias5_only,0.7875787578757876,0.7875787578757876,0.9693969488143921,0.8028802871704102,1.264774724881355,cnn_multitask,clean_train,,,,
noise3_only,0.819081908190819,0.819081908190819,0.9630963206291199,0.8352835774421692,1.2110772955857558,cnn_multitask,clean_train,,,,
clean,-42.68575638101444,,,,0.19403540186791887,cnn_coordinate,clean_train,0.4443670443720688,0.6229532861748742,42.68575638101444,60.884215788615194
dropout_0.05,-51.599854906202104,,,,0.29253690718638803,cnn_coordinate,clean_train,0.5336483664957037,0.7649011692473773,51.599854906202104,75.34018597168793
dropout_0.10,-60.46813573103635,,,,0.37938760613987405,cnn_coordinate,clean_train,0.6233907912787973,0.8710770585785771,60.46813573103635,85.48919648212211
dropout_0.15,-75.59262524457506,,,,0.5623610210139723,cnn_coordinate,clean_train,0.7768656184475959,1.0605291082035608,75.59262524457506,104.88716417667325
dropout_0.20,-83.93824291377827,,,,0.6390539549096654,cnn_coordinate,clean_train,0.8588233946611004,1.1305343551992069,83.93824291377827,112.32080211652595
dropout_0.25,-93.52923805960528,,,,0.791167043974333,cnn_coordinate,clean_train,0.9542844639724136,1.25790857901804,93.52923805960528,124.43983041892362
dropout_0.30,-99.23679794754712,,,,0.8495580547570538,cnn_coordinate,clean_train,1.0095649482062197,1.3035014899474757,99.23679794754712,129.4591860300519
dropout_0.35,-112.99569476107187,,,,1.02932138817467,cnn_coordinate,clean_train,1.1471326570123066,1.434797130430017,112.99569476107187,142.5114975902613
dropout_0.40,-123.22261196280022,,,,1.2129074770196078,cnn_coordinate,clean_train,1.2497934980764822,1.557502819985461,123.22261196280022,154.55424815908233
dropout_0.45,-135.78439842575804,,,,1.4075468800606543,cnn_coordinate,clean_train,1.3768881505148811,1.6778241273583117,135.78439842575804,166.2662123554773
dropout_0.50,-140.80918876504882,,,,1.4526500121416217,cnn_coordinate,clean_train,1.4235772749510742,1.7044940805079327,140.80918876504882,169.47223522414237
dropout_0.60,-148.9974822943712,,,,1.5910753772990538,cnn_coordinate,clean_train,1.4985865464198072,1.7838584369174288,148.9974822943712,178.0044676835236
drop0.25_bias3_noise1,-90.60918866410529,,,,0.7337874713295972,cnn_coordinate,clean_train,0.9174215143800786,1.211435062610079,90.60918866410529,121.04657467449458
drop0.35_bias4_noise2,-113.51096956263277,,,,1.0654130194983324,cnn_coordinate,clean_train,1.152441892825534,1.4597349151005259,113.51096956263277,144.52851756463326
drop0.40_bias5_noise3,-120.41829511468084,,,,1.0968569989251618,cnn_coordinate,clean_train,1.2079601877777848,1.4811192028811186,120.41829511468084,148.92182971697278
drop0.15_bias6_noise0,-68.80035987519436,,,,0.45811019528030167,cnn_coordinate,clean_train,0.7063611568208354,0.9571940290767578,68.80035987519436,94.5965291851065
bias5_only,-42.36609794198289,,,,0.1920521330125261,cnn_coordinate,clean_train,0.440009715416012,0.6197614668808057,42.36609794198289,60.58135617941544
noise3_only,-44.12041054755376,,,,0.20427483017116274,cnn_coordinate,clean_train,0.4574209766671822,0.6391789041255883,44.12041054755376,62.706031184960715
clean,0.9468947052955627,0.9468947052955627,0.9891989231109619,0.9549955129623413,0.2924608421972161,lstm_joint,clean_train,,,,
dropout_0.05,0.9315931797027588,0.9315931797027588,0.984698474407196,0.9423942565917969,0.3649611644762041,lstm_joint,clean_train,,,,
dropout_0.10,0.9081908464431763,0.9081908464431763,0.9864986538887024,0.917191743850708,0.4800580353430002,lstm_joint,clean_train,,,,
dropout_0.15,0.8937894105911255,0.8937894105911255,0.9864986538887024,0.9036903977394104,0.5396550631705541,lstm_joint,clean_train,,,,
dropout_0.20,0.8901890516281128,0.8901890516281128,0.9864986538887024,0.8973897695541382,0.581027184462998,lstm_joint,clean_train,,,,
dropout_0.25,0.8685868978500366,0.8685868978500366,0.9909991025924683,0.8739874362945557,0.6786599969348855,lstm_joint,clean_train,,,,
