family,task,run_name,seed,lr,weight_decay,batch_size,val_batch_size,max_epochs,patience,print_every,grad_clip_norm,best_epoch,epoch,train_loss,val_loss,score,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m,selected_from_run,params,joint_accuracy,building_accuracy,floor_accuracy
cnn,coordinate,confirm_cnn_coord_low_5e4_wd1e4,42,0.0005,0.0001,256,512,60,12,5,,58,58.0,0.04202629017422256,0.18381399576133914,-40.88455954021719,0.42682772058704294,0.5986725534297106,40.88455954021719,58.28414334096046,cnn_coord_low_5e4_wd1e4,1582082,,,
cnn,coordinate,confirm_cnn_coord_low_5e4_wd1e4,123,0.0005,0.0001,256,512,60,12,5,,58,58.0,0.051192381523458744,0.19447064295102626,-42.43787511893302,0.4462858456676125,0.6181828257434839,42.43787511893302,60.05415226346398,cnn_coord_low_5e4_wd1e4,1582082,,,
cnn,coordinate,confirm_cnn_coord_low_5e4_wd1e4,999,0.0005,0.0001,256,512,60,12,5,,49,49.0,0.04484963533967209,0.181221898346737,-41.214640718293694,0.42789039138482404,0.5925899093041042,41.214640718293694,58.104055894414984,cnn_coord_low_5e4_wd1e4,1582082,,,
cnn,joint,confirm_cnn_joint_reg_1e3_wd5e4,42,0.001,0.0005,256,512,50,10,5,,33,33.0,0.01618693996929561,0.9284466299036406,0.8406840666900552,,,,,cnn_joint_reg_1e3_wd5e4,1584909,0.8406840666900552,0.9477947812483828,0.8523852388457497
cnn,joint,confirm_cnn_joint_reg_1e3_wd5e4,123,0.001,0.0005,256,512,50,10,5,,32,32.0,0.019821777886263034,0.8913342921611536,0.8280828097830153,,,,,cnn_joint_reg_1e3_wd5e4,1584909,0.8280828097830153,0.9459945986015532,0.8406840672802003
cnn,joint,confirm_cnn_joint_reg_1e3_wd5e4,999,0.001,0.0005,256,512,50,10,5,,28,28.0,0.015542767620657842,0.8242877305466028,0.8289828957146508,,,,,cnn_joint_reg_1e3_wd5e4,1584909,0.8289828957146508,0.942394237117012,0.8451845167350598
cnn,multitask,confirm_cnn_mt_stable_1e3_wd1e4,42,0.001,0.0001,256,512,50,10,5,,46,46.0,0.016184589516865903,1.2403696697108064,0.8262826282628263,,,,,cnn_mt_stable_1e3_wd1e4,1583624,0.8262826282628263,0.9702970314734053,0.8388838887107362
cnn,multitask,confirm_cnn_mt_stable_1e3_wd1e4,123,0.001,0.0001,256,512,50,10,5,,32,32.0,0.028178444284961236,1.140642994379375,0.8100810081008101,,,,,cnn_mt_stable_1e3_wd1e4,1583624,0.8100810081008101,0.9720972094527244,0.8217821791298641
cnn,multitask,confirm_cnn_mt_stable_1e3_wd1e4,999,0.001,0.0001,256,512,50,10,5,,35,35.0,0.02336328123916775,1.1354113037150577,0.8181818181818182,,,,,cnn_mt_stable_1e3_wd1e4,1583624,0.8181818181818182,0.9675967588175749,0.8316831686387289
lstm,coordinate,confirm_lstm_coord_stable_1e3_wd1e4_gc1,42,0.001,0.0001,256,512,50,10,5,1.0,36,36.0,0.01848564644825251,0.014666781800151086,-10.574129003503526,0.11968096753444199,0.1653983197167279,10.574129003503526,14.367968123313707,lstm_coord_stable_1e3_wd1e4_gc1,1639203,,,
lstm,coordinate,confirm_lstm_coord_stable_1e3_wd1e4_gc1,123,0.001,0.0001,256,512,50,10,5,1.0,42,42.0,0.01826548229471539,0.01605386014031892,-10.83903818665796,0.12245022877985853,0.17686936540403156,10.83903818665796,16.287637152512488,lstm_coord_stable_1e3_wd1e4_gc1,1639203,,,
lstm,coordinate,confirm_lstm_coord_stable_1e3_wd1e4_gc1,999,0.001,0.0001,256,512,50,10,5,1.0,32,32.0,0.020522516657016595,0.017993652732065407,-11.213091389957862,0.1262405794368365,0.1825006973702539,11.213091389957862,16.04387994814409,lstm_coord_stable_1e3_wd1e4_gc1,1639203,,,
lstm,joint,confirm_lstm_joint_lowreg_5e4_wd5e4_gc1,42,0.0005,0.0005,256,512,80,15,5,1.0,17,17.0,0.014419029146681766,0.259720981147888,0.9531953174932705,,,,,lstm_joint_lowreg_5e4_wd5e4_gc1,1642030,0.9531953174932705,0.9981998199819982,0.9531953174932705
lstm,joint,confirm_lstm_joint_lowreg_5e4_wd5e4_gc1,123,0.0005,0.0005,256,512,80,15,5,1.0,30,30.0,0.006614739313260503,0.28119284664318434,0.9558955875202731,,,,,lstm_joint_lowreg_5e4_wd5e4_gc1,1642030,0.9558955875202731,0.9990999099909991,0.9558955875202731
lstm,joint,confirm_lstm_joint_lowreg_5e4_wd5e4_gc1,999,0.0005,0.0005,256,512,80,15,5,1.0,35,35.0,0.010212312808123266,0.5582823965540885,0.9288928904692189,,,,,lstm_joint_lowreg_5e4_wd5e4_gc1,1642030,0.9288928904692189,0.9972997279343145,0.9288928904692189
lstm,multitask,confirm_lstm_mt_low_5e4_wd1e4_gc1,42,0.0005,0.0001,256,512,60,12,5,1.0,24,24.0,0.012487545300535934,0.33747726403894346,0.9513951395139514,,,,,lstm_mt_low_5e4_wd1e4_gc1,1640745,0.9513951395139514,0.9981998199819982,0.9513951374752687
lstm,multitask,confirm_lstm_mt_low_5e4_wd1e4_gc1,123,0.0005,0.0001,256,512,60,12,5,1.0,31,31.0,0.013873258260516759,0.39758691811325525,0.9432943294329433,,,,,lstm_mt_low_5e4_wd1e4_gc1,1640745,0.9432943294329433,0.9981998199819982,0.9432943279844056
lstm,multitask,confirm_lstm_mt_low_5e4_wd1e4_gc1,999,0.0005,0.0001,256,512,60,12,5,1.0,21,21.0,0.01506556385863017,0.39445989530007114,0.9441944194419442,,,,,lstm_mt_low_5e4_wd1e4_gc1,1640745,0.9441944194419442,0.9981998199819982,0.9450945080024074
