family,task,run_name,seed,lr,weight_decay,batch_size,val_batch_size,max_epochs,patience,print_every,grad_clip_norm,best_epoch,epoch,train_loss,val_loss,score,joint_accuracy,building_accuracy,floor_accuracy,params,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
cnn,joint,cnn_joint_base_2e3_wd1e4,42,0.002,0.0001,256,512,30,5,5,,9,9.0,0.11404456609666015,0.953754001646617,0.7542754287766938,0.7542754287766938,0.9090909100029514,0.7839783958547508,1584909,,,,
cnn,joint,cnn_joint_stable_1e3_wd1e4,42,0.001,0.0001,256,512,50,10,5,,45,45.0,0.010952071596797286,0.999468486015052,0.8379837972531975,0.8379837972531975,0.9477947812483828,0.8514851467980661,1584909,,,,
cnn,joint,cnn_joint_reg_1e3_wd5e4,42,0.001,0.0005,256,512,50,10,5,,33,33.0,0.01618693996929561,0.9284466299036406,0.8406840666900552,0.8406840666900552,0.9477947812483828,0.8523852388457497,1584909,,,,
cnn,joint,cnn_joint_low_5e4_wd1e4,42,0.0005,0.0001,256,512,60,12,5,,41,41.0,0.012570139900385786,0.9015762656792985,0.8352835278163399,0.8352835278163399,0.9522952312933873,0.8496849667800642,1584909,,,,
cnn,joint,cnn_joint_lowreg_5e4_wd5e4,42,0.0005,0.0005,256,512,80,15,5,,41,41.0,0.014351792479005962,0.8587548590049778,0.8244824491568667,0.8244824491568667,0.9450945112213801,0.8334833460279031,1584909,,,,
cnn,multitask,cnn_mt_base_2e3_wd1e4,42,0.002,0.0001,256,512,30,5,5,,23,23.0,0.07374893057606144,1.011966860905947,0.7803780378037803,0.7803780378037803,0.9549954978331695,0.7983798354086202,1583624,,,,
cnn,multitask,cnn_mt_stable_1e3_wd1e4,42,0.001,0.0001,256,512,50,10,5,,46,46.0,0.016184589516865903,1.2403696697108064,0.8262826282628263,0.8262826282628263,0.9702970314734053,0.8388838887107362,1583624,,,,
cnn,multitask,cnn_mt_reg_1e3_wd5e4,42,0.001,0.0005,256,512,50,10,5,,30,30.0,0.03255431205544365,1.0060700790824169,0.8181818181818182,0.8181818181818182,0.9693969394257217,0.8271827197740145,1583624,,,,
cnn,multitask,cnn_mt_low_5e4_wd1e4,42,0.0005,0.0001,256,512,60,12,5,,29,29.0,0.03231614916453888,1.0691533057567346,0.810981098109811,0.810981098109811,0.9711971188535785,0.8271827165550417,1583624,,,,
cnn,multitask,cnn_mt_lowreg_5e4_wd5e4,42,0.0005,0.0005,256,512,80,15,5,,47,47.0,0.019752704282743186,1.0330714715911289,0.8172817281728173,0.8172817281728173,0.9702970308832602,0.8262826259558959,1583624,,,,
cnn,coordinate,cnn_coord_base_2e3_wd1e4,42,0.002,0.0001,256,512,30,5,5,,23,23.0,0.08292815440135895,0.2843467800816794,-53.98982616547522,,,,1582082,0.5711087288880679,0.7374319498213985,53.98982616547522,71.19636741611367
cnn,coordinate,cnn_coord_stable_1e3_wd1e4,42,0.001,0.0001,256,512,50,10,5,,45,45.0,0.05264393050165104,0.2078489058464095,-43.90490874355479,,,,1582082,0.4614002374400837,0.6364141617190161,43.90490874355479,61.645744267598374
cnn,coordinate,cnn_coord_reg_1e3_wd5e4,42,0.001,0.0005,256,512,50,10,5,,45,45.0,0.04642377851134127,0.1934920331843794,-41.47384878129928,,,,1582082,0.4346025960915418,0.6129850158548125,41.47384878129928,59.58618860475866
cnn,coordinate,cnn_coord_low_5e4_wd1e4,42,0.0005,0.0001,256,512,60,12,5,,58,58.0,0.04202629017422256,0.18381399576133914,-40.88455954021719,,,,1582082,0.42682772058704294,0.5986725534297106,40.88455954021719,58.28414334096046
cnn,coordinate,cnn_coord_lowreg_5e4_wd5e4,42,0.0005,0.0005,256,512,80,15,5,,69,69.0,0.04332458202703736,0.1873358329011984,-41.20449013192736,,,,1582082,0.43113239049894714,0.6094310075129813,41.20449013192736,59.36836838886882
lstm,joint,lstm_joint_stable_1e3_wd1e4_gc1,42,0.001,0.0001,256,512,50,10,5,1.0,14,14.0,0.015820511888637718,0.3404529532610458,0.9477947800680928,0.9477947800680928,0.9990999099909991,0.9477947800680928,1642030,,,,
lstm,joint,lstm_joint_reg_1e3_wd5e4_gc1,42,0.001,0.0005,256,512,50,10,5,1.0,7,7.0,0.044052892140945106,0.300840240800091,0.9468946880204092,0.9468946880204092,0.9972997299729973,0.9468946880204092,1642030,,,,
lstm,joint,lstm_joint_low_5e4_wd1e4_gc1,42,0.0005,0.0001,256,512,60,12,5,1.0,12,12.0,0.028174280745893388,0.25730212750357623,0.9513951401040964,0.9513951401040964,0.9990999099909991,0.9513951401040964,1642030,,,,
lstm,joint,lstm_joint_lowreg_5e4_wd5e4_gc1,42,0.0005,0.0005,256,512,80,15,5,1.0,17,17.0,0.014419029146681766,0.259720981147888,0.9531953174932705,0.9531953174932705,0.9981998199819982,0.9531953174932705,1642030,,,,
lstm,joint,lstm_joint_slow_1e4_wd1e4_gc1,42,0.0001,0.0001,256,512,80,15,5,1.0,26,26.0,0.03834078267071685,0.27182807865226516,0.9423942373852596,0.9423942373852596,0.9954995499549955,0.9450945074122624,1642030,,,,
lstm,multitask,lstm_mt_stable_1e3_wd1e4_gc1,42,0.001,0.0001,256,512,50,10,5,1.0,20,20.0,0.012065145899597498,0.36612597248717327,0.9504950495049505,0.9504950495049505,1.0,0.9504950500950955,1640745,,,,
lstm,multitask,lstm_mt_reg_1e3_wd5e4_gc1,42,0.001,0.0005,256,512,50,10,5,1.0,14,14.0,0.024847989594900644,0.31859005712690275,0.945994599459946,0.945994599459946,0.9990999099909991,0.945994600050091,1640745,,,,
lstm,multitask,lstm_mt_low_5e4_wd1e4_gc1,42,0.0005,0.0001,256,512,60,12,5,1.0,24,24.0,0.012487545300535934,0.33747726403894346,0.9513951395139514,0.9513951395139514,0.9981998199819982,0.9513951374752687,1640745,,,,
lstm,multitask,lstm_mt_lowreg_5e4_wd5e4_gc1,42,0.0005,0.0005,256,512,80,15,5,1.0,21,21.0,0.015683348804608404,0.3136307284048181,0.9513951395139514,0.9513951395139514,0.9990999099909991,0.9513951401040964,1640745,,,,
lstm,multitask,lstm_mt_slow_1e4_wd1e4_gc1,42,0.0001,0.0001,256,512,80,15,5,1.0,41,41.0,0.03895981763788276,0.3338307770762113,0.9333933393339334,0.9333933393339334,0.9990999099909991,0.9333933399240784,1640745,,,,
lstm,coordinate,lstm_coord_stable_1e3_wd1e4_gc1,42,0.001,0.0001,256,512,50,10,5,1.0,36,36.0,0.01848564644825251,0.014666781800151086,-10.574129003503526,,,,1639203,0.11968096753444199,0.1653983197167279,10.574129003503526,14.367968123313707
lstm,coordinate,lstm_coord_reg_1e3_wd5e4_gc1,42,0.001,0.0005,256,512,50,10,5,1.0,41,41.0,0.017488237462260303,0.01523775836028675,-11.006261590960706,,,,1639203,0.12580857005911064,0.17257384210264146,11.006261590960706,14.852060709917405
lstm,coordinate,lstm_coord_low_5e4_wd1e4_gc1,42,0.0005,0.0001,256,512,60,12,5,1.0,34,34.0,0.01709561085103956,0.0168581569280633,-12.090792013885439,,,,1639203,0.13481070641581147,0.1819176433294996,12.090792013885439,16.204285752399148
lstm,coordinate,lstm_coord_lowreg_5e4_wd5e4_gc1,42,0.0005,0.0005,256,512,80,15,5,1.0,32,32.0,0.018308247437554603,0.02035315762652029,-12.835148196337974,,,,1639203,0.14175944874787788,0.20040109014841884,12.835148196337974,18.17807246126568
