family,task,run_name,seed,lr,weight_decay,batch_size,val_batch_size,max_epochs,patience,print_every,grad_clip_norm,best_epoch,epoch,train_loss,val_loss,score,joint_accuracy,building_accuracy,floor_accuracy,params,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
mlp,joint,mlp_joint_base_2e3_wd1e4,42,0.002,0.0001,256,512,30,5,5,,6,6.0,0.023099759444403793,0.5125388698090743,0.8982898301631883,0.8982898301631883,0.9981998199819982,0.8982898301631883,1729037,,,,
mlp,joint,mlp_joint_stable_1e3_wd1e4,42,0.001,0.0001,256,512,50,10,5,,7,7.0,0.02083908184697759,0.5016859209988163,0.8973897381155047,0.8973897381155047,0.9963996399639964,0.8973897381155047,1729037,,,,
mlp,joint,mlp_joint_reg_1e3_wd5e4,42,0.001,0.0005,256,512,50,10,5,,6,6.0,0.019621890732598006,0.4199370583309771,0.9072907288046596,0.9072907288046596,0.9981998199819982,0.9072907288046596,1729037,,,,
mlp,joint,mlp_joint_low_5e4_wd1e4,42,0.0005,0.0001,256,512,60,12,5,,13,13.0,0.012638010203420919,0.492909996038509,0.9027902807983378,0.9027902807983378,0.9945994599459946,0.9027902807983378,1729037,,,,
mlp,joint,mlp_joint_lowreg_5e4_wd5e4,42,0.0005,0.0005,256,512,80,15,5,,42,42.0,0.004395394578482475,0.5361954441325929,0.9045904581875118,0.9045904581875118,0.9954995499549955,0.9045904581875118,1729037,,,,
mlp,multitask,mlp_mt_base_2e3_wd1e4,42,0.002,0.0001,256,512,30,5,5,,5,5.0,0.030566075563471146,0.5506678934198151,0.891989198919892,0.891989198919892,0.9990999099909991,0.8919891966129615,1727752,,,,
mlp,multitask,mlp_mt_stable_1e3_wd1e4,42,0.001,0.0001,256,512,50,10,5,,8,8.0,0.023392396852254117,0.4930920538791765,0.8982898289828983,0.8982898289828983,0.9990999099909991,0.8982898301631883,1727752,,,,
mlp,multitask,mlp_mt_reg_1e3_wd5e4,42,0.001,0.0005,256,512,50,10,5,,20,20.0,0.008896865019325406,0.5649359544905106,0.9090909090909091,0.9090909090909091,0.9990999099909991,0.909090910271199,1727752,,,,
mlp,multitask,mlp_mt_low_5e4_wd1e4,42,0.0005,0.0001,256,512,60,12,5,,6,6.0,0.026184989259117088,0.42328722766935023,0.900990099009901,0.900990099009901,0.9990999099909991,0.9009900981515082,1727752,,,,
mlp,multitask,mlp_mt_lowreg_5e4_wd5e4,42,0.0005,0.0005,256,512,80,15,5,,8,8.0,0.02064742386781508,0.4354363352087143,0.9072907290729073,0.9072907290729073,0.9990999099909991,0.9072907282145146,1727752,,,,
mlp,coordinate,mlp_coord_base_2e3_wd1e4,42,0.002,0.0001,256,512,30,5,5,,10,10.0,0.01923003855237091,0.014182114318133902,-11.312213758372808,,,,1726210,0.12779378499806893,0.16776932749802254,11.312213758372808,14.847737098908864
mlp,coordinate,mlp_coord_stable_1e3_wd1e4,42,0.001,0.0001,256,512,50,10,5,,49,49.0,0.010766436100864134,0.010980268734952387,-9.883502745988904,,,,1726210,0.1111135742295112,0.14683001812363888,9.883502745988904,13.036922626913121
mlp,coordinate,mlp_coord_reg_1e3_wd5e4,42,0.001,0.0005,256,512,50,10,5,,47,47.0,0.010742033909459365,0.01129947686492458,-9.913641359863844,,,,1726210,0.11191360881566409,0.14896083363383422,9.913641359863844,13.166144440541048
mlp,coordinate,mlp_coord_low_5e4_wd1e4,42,0.0005,0.0001,256,512,60,12,5,,60,60.0,0.01070359854464211,0.011450221388190851,-10.10504394579194,,,,1726210,0.11388226749993167,0.14955751745968832,10.10504394579194,13.271347426166699
mlp,coordinate,mlp_coord_lowreg_5e4_wd5e4,42,0.0005,0.0005,256,512,80,15,5,,78,78.0,0.009859360200003319,0.010967483091009672,-9.79397194295631,,,,1726210,0.11024125985723159,0.1462780239049346,9.79397194295631,13.038949428256295
