family,task,run_name,seed,lr,weight_decay,batch_size,val_batch_size,max_epochs,patience,print_every,grad_clip_norm,best_epoch,epoch,train_loss,val_loss,score,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m,selected_from_run,dropout,params,d_model,num_heads,num_sab_layers,dim_feedforward,num_seed_vectors,joint_accuracy,building_accuracy,floor_accuracy,nhead,num_layers
set,coordinate,confirm_set_coord_reg_1e3_wd5e4,42,0.001,0.0005,256,512,50,10,5,1.0,37,37.0,0.010661761660360343,0.013415465356059487,-10.919728126913325,0.12342234348515245,0.16211056895640308,10.919728126913325,14.040860010480628,set_coord_reg_1e3_wd5e4,0.1,481794,128,4.0,2.0,256,1.0,,,,,
set,coordinate,confirm_set_coord_reg_1e3_wd5e4,123,0.001,0.0005,256,512,50,10,5,1.0,31,31.0,0.012176117766027244,0.015094969969856428,-11.927882033852152,0.13209790880331526,0.17188324160910248,11.927882033852152,15.29634543215001,set_coord_reg_1e3_wd5e4,0.1,481794,128,4.0,2.0,256,1.0,,,,,
set,coordinate,confirm_set_coord_reg_1e3_wd5e4,999,0.001,0.0005,256,512,50,10,5,1.0,35,35.0,0.011053271622026989,0.013754290537816464,-11.701689706098664,0.1262013358035173,0.16517866271440224,11.701689706098664,15.537414263979482,set_coord_reg_1e3_wd5e4,0.1,481794,128,4.0,2.0,256,1.0,,,,,
set,joint,confirm_set_joint_lowreg_5e4_wd5e4,42,0.0005,0.0005,256,512,80,15,5,1.0,43,43.0,0.034788185368642054,0.3377725601759609,0.9441944179934064,,,,,set_joint_lowreg_5e4_wd5e4,0.1,483213,128,4.0,2.0,256,1.0,0.9441944179934064,0.9990999099909991,0.9441944179934064,,
set,joint,confirm_set_joint_lowreg_5e4_wd5e4,123,0.0005,0.0005,256,512,80,15,5,1.0,24,24.0,0.0632503267939856,0.29911896886855605,0.9387938799780838,,,,,set_joint_lowreg_5e4_wd5e4,0.1,483213,128,4.0,2.0,256,1.0,0.9387938799780838,0.9990999079523164,0.9387938799780838,,
set,joint,confirm_set_joint_lowreg_5e4_wd5e4,999,0.0005,0.0005,256,512,80,15,5,1.0,56,56.0,0.017075099081572526,0.3642108704354933,0.945994600050091,,,,,set_joint_lowreg_5e4_wd5e4,0.1,483213,128,4.0,2.0,256,1.0,0.945994600050091,0.9963996399639964,0.945994600050091,,
set,multitask,confirm_set_mt_lowreg_5e4_wd5e4,42,0.0005,0.0005,256,512,80,15,5,1.0,38,38.0,0.030048693759016427,0.22861053889515054,0.9558955881104182,,,,,set_mt_lowreg_5e4_wd5e4,0.1,499080,128,4.0,2.0,256,1.0,0.9558955881104182,0.9981998199819982,0.9567956781194191,,
set,multitask,confirm_set_mt_lowreg_5e4_wd5e4,123,0.0005,0.0005,256,512,80,15,5,1.0,41,41.0,0.017942511757369828,0.28958712303616996,0.9513951401040964,,,,,set_mt_lowreg_5e4_wd5e4,0.1,499080,128,4.0,2.0,256,1.0,0.9513951401040964,1.0,0.9513951401040964,,
set,multitask,confirm_set_mt_lowreg_5e4_wd5e4,999,0.0005,0.0005,256,512,80,15,5,1.0,40,40.0,0.02929704738132943,0.3208474716310776,0.9423942385655497,,,,,set_mt_lowreg_5e4_wd5e4,0.1,499080,128,4.0,2.0,256,1.0,0.9423942385655497,0.9963996405541414,0.9441944179934064,,
standard,coordinate,confirm_standard_coord_stable_1e3_wd1e4,42,0.001,0.0001,256,512,50,10,5,1.0,48,48.0,0.01042131500029678,0.0126432548457309,-10.03556950858609,0.11513365156046994,0.15496941060073044,10.03556950858609,13.249065950622214,standard_coord_stable_1e3_wd1e4,0.1,349442,128,,,256,,,,,4.0,2.0
