family,task,run_name,seed,lr,weight_decay,batch_size,val_batch_size,max_epochs,patience,print_every,grad_clip_norm,best_epoch,epoch,train_loss,val_loss,score,joint_accuracy,building_accuracy,floor_accuracy,dropout,params,d_model,nhead,num_layers,dim_feedforward,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m,num_heads,num_sab_layers,num_seed_vectors
standard,joint,standard_joint_base_2e3_wd1e4,42,0.002,0.0001,256,512,30,5,5,1.0,7,7.0,0.38460921563905814,0.3483019189374282,0.9153915377053776,0.9153915377053776,0.9972997299729973,0.9171917177233795,0.1,350861,128,4.0,2.0,256,,,,,,,
standard,joint,standard_joint_stable_1e3_wd1e4,42,0.001,0.0001,256,512,50,10,5,1.0,23,23.0,0.07680054043192212,0.2825024151767191,0.9504950474662678,0.9504950474662678,1.0,0.9504950474662678,0.1,350861,128,4.0,2.0,256,,,,,,,
standard,joint,standard_joint_reg_1e3_wd5e4,42,0.001,0.0005,256,512,50,10,5,1.0,29,29.0,0.035338215690986045,0.3043600111582814,0.9504950500950955,0.9504950500950955,1.0,0.9504950500950955,0.1,350861,128,4.0,2.0,256,,,,,,,
standard,joint,standard_joint_low_5e4_wd1e4,42,0.0005,0.0001,256,512,60,12,5,1.0,26,26.0,0.04403852441331272,0.29132086599227225,0.9423942400140873,0.9423942400140873,0.9990999099909991,0.9432943300230883,0.1,350861,128,4.0,2.0,256,,,,,,,
standard,joint,standard_joint_lowreg_5e4_wd5e4,42,0.0005,0.0005,256,512,80,15,5,1.0,25,25.0,0.054920567323378,0.26365722871438324,0.9468946900590919,0.9468946900590919,0.9990999099909991,0.9468946900590919,0.1,350861,128,4.0,2.0,256,,,,,,,
standard,multitask,standard_mt_base_2e3_wd1e4,42,0.002,0.0001,256,512,30,5,5,1.0,14,14.0,0.059586385752492456,0.24701515231767718,0.9558955901491009,0.9558955901491009,0.9945994579073119,0.9567956801581018,0.1,366728,128,4.0,2.0,256,,,,,,,
standard,multitask,standard_mt_stable_1e3_wd1e4,42,0.001,0.0001,256,512,50,10,5,1.0,30,30.0,0.0535689554045353,0.22736243224970185,0.9576957681284199,0.9576957681284199,0.9990999079523164,0.9576957681284199,0.1,366728,128,4.0,2.0,256,,,,,,,
standard,multitask,standard_mt_reg_1e3_wd5e4,42,0.001,0.0005,256,512,50,10,5,1.0,28,28.0,0.06452146446823853,0.24491914061948483,0.9540954080924163,0.9540954080924163,0.9990999079523164,0.9540954080924163,0.1,366728,128,4.0,2.0,256,,,,,,,
standard,multitask,standard_mt_low_5e4_wd1e4,42,0.0005,0.0001,256,512,60,12,5,1.0,22,22.0,0.07365471031315923,0.24067367676353799,0.9441944206222342,0.9441944206222342,0.9954995479163128,0.9468946906492369,0.1,366728,128,4.0,2.0,256,,,,,,,
standard,multitask,standard_mt_lowreg_5e4_wd5e4,42,0.0005,0.0005,256,512,80,15,5,1.0,27,27.0,0.05685424580762742,0.2267309774776282,0.9522952301130972,0.9522952301130972,0.9963996379253137,0.9558955875202731,0.1,366728,128,4.0,2.0,256,,,,,,,
