scenario,model,score_clean_train,score_aug_train,delta_score
clean,mlp_joint,0.9072907567024231,0.9216921925544739,0.014401435852050781
dropout_0.05,mlp_joint,0.896489679813385,0.9162916541099548,0.019801974296569824
dropout_0.10,mlp_joint,0.8631863594055176,0.9099910259246826,0.04680466651916504
dropout_0.15,mlp_joint,0.8361836671829224,0.9045904874801636,0.06840682029724121
dropout_0.20,mlp_joint,0.834383487701416,0.8937894105911255,0.05940592288970947
dropout_0.25,mlp_joint,0.8316832184791565,0.881188154220581,0.04950493574142456
dropout_0.30,mlp_joint,0.7965796589851379,0.8748875260353088,0.0783078670501709
dropout_0.35,mlp_joint,0.760576069355011,0.855085551738739,0.09450948238372803
dropout_0.40,mlp_joint,0.7083708643913269,0.8478848338127136,0.13951396942138672
dropout_0.45,mlp_joint,0.6876688003540039,0.8217821717262268,0.1341133713722229
dropout_0.50,mlp_joint,0.6453645825386047,0.7992799282073975,0.15391534566879272
dropout_0.60,mlp_joint,0.5706570744514465,0.7317731976509094,0.1611161231994629
drop0.25_bias3_noise1,mlp_joint,0.8244824409484863,0.8955895900726318,0.07110714912414551
drop0.35_bias4_noise2,mlp_joint,0.7650765180587769,0.875787615776062,0.11071109771728516
drop0.40_bias5_noise3,mlp_joint,0.7335733771324158,0.8523852825164795,0.11881190538406372
drop0.15_bias6_noise0,mlp_joint,0.8676868081092834,0.917191743850708,0.04950493574142456
bias5_only,mlp_joint,0.9063906669616699,0.9315931797027588,0.025202512741088867
noise3_only,mlp_joint,0.9072907567024231,0.917191743850708,0.009900987148284912
clean,mlp_multitask,0.9045904590459046,0.918991899189919,0.014401440144014344
dropout_0.05,mlp_multitask,0.8937893789378938,0.9126912691269127,0.01890189018901889
dropout_0.10,mlp_multitask,0.8604860486048604,0.9000900090009001,0.03960396039603964
dropout_0.15,mlp_multitask,0.8487848784878488,0.9054905490549054,0.056705670567056665
dropout_0.20,mlp_multitask,0.828982898289829,0.8964896489648965,0.0675067506750675
dropout_0.25,mlp_multitask,0.8253825382538253,0.882988298829883,0.057605760576057596
dropout_0.30,mlp_multitask,0.7920792079207921,0.8802880288028803,0.08820882088208815
dropout_0.35,mlp_multitask,0.7407740774077408,0.8505850585058505,0.10981098109810972
dropout_0.40,mlp_multitask,0.7056705670567057,0.8541854185418541,0.14851485148514842
dropout_0.45,mlp_multitask,0.6786678667866787,0.8244824482448245,0.14581458145814585
dropout_0.50,mlp_multitask,0.6453645364536453,0.8091809180918091,0.1638163816381638
dropout_0.60,mlp_multitask,0.5463546354635463,0.7398739873987399,0.19351935193519354
drop0.25_bias3_noise1,mlp_multitask,0.8181818181818182,0.8901890189018902,0.07200720072007194
drop0.35_bias4_noise2,mlp_multitask,0.7434743474347435,0.8802880288028803,0.13681368136813676
drop0.40_bias5_noise3,mlp_multitask,0.7110711071107111,0.8424842484248425,0.1314131413141314
drop0.15_bias6_noise0,mlp_multitask,0.8667866786678667,0.9072907290729073,0.04050405040504057
bias5_only,mlp_multitask,0.900990099009901,0.9270927092709271,0.026102610261026116
noise3_only,mlp_multitask,0.9018901890189019,0.9135913591359136,0.011701170117011661
clean,mlp_coordinate,-9.660045279717732,-8.689186090141666,0.9708591895760659
dropout_0.05,mlp_coordinate,-10.158927154196963,-8.87309640073365,1.2858307534633138
dropout_0.10,mlp_coordinate,-11.04445214213642,-9.030067514816485,2.0143846273199344
dropout_0.15,mlp_coordinate,-11.711172493241872,-9.256501636595507,2.4546708566463646
dropout_0.20,mlp_coordinate,-12.613492115010626,-9.518523838079322,3.0949682769313043
dropout_0.25,mlp_coordinate,-13.45797417778359,-9.807909357747032,3.650064820036558
dropout_0.30,mlp_coordinate,-14.00998525978253,-9.883616249192645,4.126369010589885
dropout_0.35,mlp_coordinate,-16.393095003393512,-10.823641729994975,5.569453273398537
dropout_0.40,mlp_coordinate,-18.97648213250428,-11.289299773145766,7.6871823593585145
dropout_0.45,mlp_coordinate,-22.98640928461534,-12.59108377789538,10.395325506719962
dropout_0.50,mlp_coordinate,-26.902486935898033,-14.068610947787029,12.833875988111004
dropout_0.60,mlp_coordinate,-34.73924204301036,-17.51717575740431,17.222066285606047
drop0.25_bias3_noise1,mlp_coordinate,-12.925198130912184,-9.52916071937717,3.396037411535014
drop0.35_bias4_noise2,mlp_coordinate,-16.022914603610754,-10.664369407561093,5.358545196049661
drop0.40_bias5_noise3,mlp_coordinate,-18.139228977714893,-11.229129208807839,6.910099768907054
drop0.15_bias6_noise0,mlp_coordinate,-11.147690145300803,-9.006982336100425,2.1407078092003786
bias5_only,mlp_coordinate,-9.593499022480685,-8.556961382547147,1.0365376399335382
noise3_only,mlp_coordinate,-9.721495538381255,-8.781840246375598,0.9396552920056571
