scenario,score,joint_accuracy,building_accuracy,floor_accuracy,eval_loss,model,train_regime,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
clean,0.9072907567024231,0.9072907567024231,0.9972997307777405,0.9072907567024231,0.46664278355404454,mlp_joint,clean_train,,,,
dropout_0.05,0.896489679813385,0.896489679813385,0.9972997307777405,0.896489679813385,0.49101840327120816,mlp_joint,clean_train,,,,
dropout_0.10,0.8631863594055176,0.8631863594055176,0.9927992820739746,0.8631863594055176,0.624152475627664,mlp_joint,clean_train,,,,
dropout_0.15,0.8361836671829224,0.8361836671829224,0.9954995512962341,0.8361836671829224,0.6806294995852143,mlp_joint,clean_train,,,,
dropout_0.20,0.834383487701416,0.834383487701416,0.9936993718147278,0.834383487701416,0.6764980397119273,mlp_joint,clean_train,,,,
dropout_0.25,0.8316832184791565,0.8316832184791565,0.9837983846664429,0.834383487701416,0.7103009205160647,mlp_joint,clean_train,,,,
dropout_0.30,0.7965796589851379,0.7965796589851379,0.9810981154441833,0.8010801076889038,0.8398380768288373,mlp_joint,clean_train,,,,
dropout_0.35,0.760576069355011,0.760576069355011,0.9711971282958984,0.7668766975402832,0.991439271037585,mlp_joint,clean_train,,,,
dropout_0.40,0.7083708643913269,0.7083708643913269,0.9513951539993286,0.7146714925765991,1.1647090903281307,mlp_joint,clean_train,,,,
dropout_0.45,0.6876688003540039,0.6876688003540039,0.9297930002212524,0.703870415687561,1.2488206289675083,mlp_joint,clean_train,,,,
dropout_0.50,0.6453645825386047,0.6453645825386047,0.8928893208503723,0.6669667363166809,1.441907567767599,mlp_joint,clean_train,,,,
dropout_0.60,0.5706570744514465,0.5706570744514465,0.8469847440719604,0.6012601256370544,1.805792942549279,mlp_joint,clean_train,,,,
drop0.25_bias3_noise1,0.8244824409484863,0.8244824409484863,0.9828982949256897,0.8271827101707458,0.7001322315792904,mlp_joint,clean_train,,,,
drop0.35_bias4_noise2,0.7650765180587769,0.7650765180587769,0.9729973077774048,0.7704770565032959,0.9971104173055112,mlp_joint,clean_train,,,,
drop0.40_bias5_noise3,0.7335733771324158,0.7335733771324158,0.9657965898513794,0.739874005317688,1.0959161390172374,mlp_joint,clean_train,,,,
drop0.15_bias6_noise0,0.8676868081092834,0.8676868081092834,0.9954995512962341,0.8676868081092834,0.5921825260648204,mlp_joint,clean_train,,,,
bias5_only,0.9063906669616699,0.9063906669616699,0.9972997307777405,0.9063906669616699,0.4638163649102356,mlp_joint,clean_train,,,,
noise3_only,0.9072907567024231,0.9072907567024231,0.9972997307777405,0.9072907567024231,0.4680163536546039,mlp_joint,clean_train,,,,
clean,0.9045904590459046,0.9045904590459046,0.9981998205184937,0.9045904874801636,0.6199300412548007,mlp_multitask,clean_train,,,,
dropout_0.05,0.8937893789378938,0.8937893789378938,0.9981998205184937,0.8937894105911255,0.6557767338896527,mlp_multitask,clean_train,,,,
dropout_0.10,0.8604860486048604,0.8604860486048604,0.9972997307777405,0.8604860901832581,0.7755225266721418,mlp_multitask,clean_train,,,,
dropout_0.15,0.8487848784878488,0.8487848784878488,0.9963996410369873,0.8487849235534668,0.8640936601548234,mlp_multitask,clean_train,,,,
dropout_0.20,0.828982898289829,0.828982898289829,0.994599461555481,0.8298830389976501,0.9428610255276159,mlp_multitask,clean_train,,,,
dropout_0.25,0.8253825382538253,0.8253825382538253,0.9918991923332214,0.8271827101707458,0.8914668517644936,mlp_multitask,clean_train,,,,
dropout_0.30,0.7920792079207921,0.7920792079207921,0.994599461555481,0.7929793000221252,1.0654483273907034,mlp_multitask,clean_train,,,,
