scenario,model,score_clean_train,score_aug_train,delta_score
clean,set_transformer_coordinate,-10.23542671347019,-8.999279147460484,1.2361475660097057
dropout_0.05,set_transformer_coordinate,-10.502312201172158,-9.10702699383072,1.3952852073414377
dropout_0.10,set_transformer_coordinate,-10.77213863310847,-9.316285497694214,1.455853135414257
dropout_0.15,set_transformer_coordinate,-11.072512814590835,-9.523692254407102,1.5488205601837333
dropout_0.20,set_transformer_coordinate,-11.41339109504507,-9.750474266041307,1.6629168290037626
dropout_0.25,set_transformer_coordinate,-11.774296683652969,-10.062289671921677,1.7120070117312913
dropout_0.30,set_transformer_coordinate,-12.059174678568043,-10.00935352450655,2.049821154061494
dropout_0.35,set_transformer_coordinate,-12.917744209987584,-10.66837302668708,2.2493711833005037
dropout_0.40,set_transformer_coordinate,-13.443053466178375,-11.197854900191851,2.2451985659865237
dropout_0.45,set_transformer_coordinate,-14.534496799546384,-11.71376971702382,2.8207270825225628
dropout_0.50,set_transformer_coordinate,-16.111874778325753,-12.875436703768397,3.2364380745573555
dropout_0.60,set_transformer_coordinate,-17.002659251726033,-14.413386960411737,2.5892722913142965
drop0.25_bias3_noise1,set_transformer_coordinate,-11.658287136783528,-9.916007124449811,1.7422800123337172
drop0.35_bias4_noise2,set_transformer_coordinate,-12.637584052534507,-10.717667946750066,1.9199161057844414
drop0.40_bias5_noise3,set_transformer_coordinate,-13.747710280754147,-10.957521019879188,2.7901892608749588
drop0.15_bias6_noise0,set_transformer_coordinate,-11.16390126765956,-9.518735485459521,1.6451657822000385
bias5_only,set_transformer_coordinate,-10.513276075296393,-9.079833767303374,1.433442307993019
noise3_only,set_transformer_coordinate,-10.401864781574787,-9.172885124164026,1.2289796574107612
clean,set_transformer_joint,0.937893807888031,0.9504950642585754,0.012601256370544434
dropout_0.05,set_transformer_joint,0.9243924617767334,0.9459946155548096,0.021602153778076172
dropout_0.10,set_transformer_joint,0.9189919233322144,0.9396939873695374,0.020702064037322998
dropout_0.15,set_transformer_joint,0.9108911156654358,0.9252925515174866,0.014401435852050781
dropout_0.20,set_transformer_joint,0.9072907567024231,0.9243924617767334,0.017101705074310303
dropout_0.25,set_transformer_joint,0.896489679813385,0.9189919233322144,0.022502243518829346
dropout_0.30,set_transformer_joint,0.8901890516281128,0.9189919233322144,0.028802871704101562
dropout_0.35,set_transformer_joint,0.8586859107017517,0.8820882439613342,0.02340233325958252
dropout_0.40,set_transformer_joint,0.8433843851089478,0.8694869875907898,0.02610260248184204
dropout_0.45,set_transformer_joint,0.8244824409484863,0.8676868081092834,0.04320436716079712
dropout_0.50,set_transformer_joint,0.8046804666519165,0.8388839364051819,0.03420346975326538
dropout_0.60,set_transformer_joint,0.7524752616882324,0.7785778641700745,0.02610260248184204
drop0.25_bias3_noise1,set_transformer_joint,0.8883888721466064,0.9135913848876953,0.025202512741088867
drop0.35_bias4_noise2,set_transformer_joint,0.8622862696647644,0.8883888721466064,0.02610260248184204
drop0.40_bias5_noise3,set_transformer_joint,0.8208820819854736,0.8658866286277771,0.04500454664230347
drop0.15_bias6_noise0,set_transformer_joint,0.9036903977394104,0.9297930002212524,0.02610260248184204
bias5_only,set_transformer_joint,0.9153915643692017,0.9468947052955627,0.031503140926361084
noise3_only,set_transformer_joint,0.9189919233322144,0.9396939873695374,0.020702064037322998
clean,set_transformer_multitask,0.9405940771102905,0.9270927309989929,-0.013501346111297607
dropout_0.05,set_transformer_multitask,0.932493269443512,0.9198920130729675,-0.012601256370544434
dropout_0.10,set_transformer_multitask,0.9243924617767334,0.9108911156654358,-0.013501346111297607
dropout_0.15,set_transformer_multitask,0.9126912951469421,0.9072907567024231,-0.005400538444519043
dropout_0.20,set_transformer_multitask,0.9162916541099548,0.9135913848876953,-0.0027002692222595215
dropout_0.25,set_transformer_multitask,0.9045904874801636,0.9054905772209167,0.0009000897407531738
dropout_0.30,set_transformer_multitask,0.8883888721466064,0.8928893208503723,0.004500448703765869
dropout_0.35,set_transformer_multitask,0.8505851030349731,0.8622862696647644,0.01170116662979126
dropout_0.40,set_transformer_multitask,0.8487849235534668,0.8577858209609985,0.009000897407531738
dropout_0.45,set_transformer_multitask,0.8298830389976501,0.8442844748497009,0.014401435852050781
dropout_0.50,set_transformer_multitask,0.7965796589851379,0.828082799911499,0.031503140926361084
dropout_0.60,set_transformer_multitask,0.7380738258361816,0.7641764283180237,0.02610260248184204
drop0.25_bias3_noise1,set_transformer_multitask,0.9099910259246826,0.901890218257904,-0.008100807666778564
drop0.35_bias4_noise2,set_transformer_multitask,0.8775877952575684,0.8775877952575684,0.0
drop0.40_bias5_noise3,set_transformer_multitask,0.8316832184791565,0.8523852825164795,0.020702064037322998
drop0.15_bias6_noise0,set_transformer_multitask,0.9243924617767334,0.9036903977394104,-0.020702064037322998
bias5_only,set_transformer_multitask,0.937893807888031,0.9234923720359802,-0.014401435852050781
