scenario,score,joint_accuracy,building_accuracy,floor_accuracy,eval_loss,model,train_regime,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
clean,0.9495949745178223,0.9495949745178223,0.9972997307777405,0.9495949745178223,0.19198321604734064,transformer_joint,aug_train,,,,
dropout_0.05,0.9504950642585754,0.9504950642585754,0.9963996410369873,0.9504950642585754,0.19936069880354845,transformer_joint,aug_train,,,,
dropout_0.10,0.937893807888031,0.937893807888031,0.9963996410369873,0.937893807888031,0.25296220499904815,transformer_joint,aug_train,,,,
dropout_0.15,0.9315931797027588,0.9315931797027588,0.9954995512962341,0.9315931797027588,0.24523802868800587,transformer_joint,aug_train,,,,
dropout_0.20,0.932493269443512,0.932493269443512,0.9954995512962341,0.932493269443512,0.27074079855297406,transformer_joint,aug_train,,,,
dropout_0.25,0.9288929104804993,0.9288929104804993,0.9972997307777405,0.9288929104804993,0.2808059942443343,transformer_joint,aug_train,,,,
dropout_0.30,0.9126912951469421,0.9126912951469421,0.9972997307777405,0.9126912951469421,0.3258510037223891,transformer_joint,aug_train,,,,
dropout_0.35,0.896489679813385,0.896489679813385,0.9909991025924683,0.896489679813385,0.39324867038658134,transformer_joint,aug_train,,,,
dropout_0.40,0.8712871670722961,0.8712871670722961,0.9864986538887024,0.8712871670722961,0.478446761275282,transformer_joint,aug_train,,,,
dropout_0.45,0.8595860004425049,0.8595860004425049,0.9882988333702087,0.8604860901832581,0.5699931839422316,transformer_joint,aug_train,,,,
dropout_0.50,0.8523852825164795,0.8523852825164795,0.9855985641479492,0.8541854619979858,0.6267404338993756,transformer_joint,aug_train,,,,
dropout_0.60,0.7830783128738403,0.7830783128738403,0.9747974872589111,0.7875787615776062,0.9718940060595797,transformer_joint,aug_train,,,,
drop0.25_bias3_noise1,0.9261926412582397,0.9261926412582397,0.9936993718147278,0.9261926412582397,0.2709502759653636,transformer_joint,aug_train,,,,
drop0.35_bias4_noise2,0.9072907567024231,0.9072907567024231,0.9936993718147278,0.9072907567024231,0.36496787329818836,transformer_joint,aug_train,,,,
drop0.40_bias5_noise3,0.8892889618873596,0.8892889618873596,0.9918991923332214,0.8892889618873596,0.448413926990691,transformer_joint,aug_train,,,,
drop0.15_bias6_noise0,0.9414941668510437,0.9414941668510437,0.9972997307777405,0.9414941668510437,0.22960604865415798,transformer_joint,aug_train,,,,
bias5_only,0.953195333480835,0.953195333480835,0.9990999102592468,0.953195333480835,0.1859864945499131,transformer_joint,aug_train,,,,
noise3_only,0.9423942565917969,0.9423942565917969,0.9963996410369873,0.9423942565917969,0.20597666114380936,transformer_joint,aug_train,,,,
clean,0.9504950642585754,0.9504950642585754,0.9972997307777405,0.9522952437400818,0.18314188032081596,set_transformer_joint,aug_train,,,,
dropout_0.05,0.9459946155548096,0.9459946155548096,0.9963996410369873,0.9486948847770691,0.19056435139274727,set_transformer_joint,aug_train,,,,
dropout_0.10,0.9396939873695374,0.9396939873695374,0.9990999102592468,0.9405940771102905,0.21954806250940026,set_transformer_joint,aug_train,,,,
dropout_0.15,0.9252925515174866,0.9252925515174866,0.994599461555481,0.9297930002212524,0.24721244699133074,set_transformer_joint,aug_train,,,,
dropout_0.20,0.9243924617767334,0.9243924617767334,0.9963996410369873,0.9270927309989929,0.2528490596639477,set_transformer_joint,aug_train,,,,
dropout_0.25,0.9189919233322144,0.9189919233322144,0.9990999102592468,0.9189919233322144,0.2562630791233854,set_transformer_joint,aug_train,,,,
dropout_0.30,0.9189919233322144,0.9189919233322144,0.9963996410369873,0.9216921925544739,0.29877740066937775,set_transformer_joint,aug_train,,,,
dropout_0.35,0.8820882439613342,0.8820882439613342,0.9927992820739746,0.8838884234428406,0.39154021762492525,set_transformer_joint,aug_train,,,,
dropout_0.40,0.8694869875907898,0.8694869875907898,0.9936993718147278,0.8712871670722961,0.40933046919820976,set_transformer_joint,aug_train,,,,
dropout_0.45,0.8676868081092834,0.8676868081092834,0.9927992820739746,0.8685868978500366,0.46691195971251176,set_transformer_joint,aug_train,,,,
dropout_0.50,0.8388839364051819,0.8388839364051819,0.9864986538887024,0.8433843851089478,0.533575097791361,set_transformer_joint,aug_train,,,,
dropout_0.60,0.7785778641700745,0.7785778641700745,0.9837983846664429,0.781278133392334,0.7626210983329588,set_transformer_joint,aug_train,,,,
drop0.25_bias3_noise1,0.9135913848876953,0.9135913848876953,0.9954995512962341,0.9153915643692017,0.2794338371118482,set_transformer_joint,aug_train,,,,
drop0.35_bias4_noise2,0.8883888721466064,0.8883888721466064,0.994599461555481,0.8883888721466064,0.35566666675354314,set_transformer_joint,aug_train,,,,
drop0.40_bias5_noise3,0.8658866286277771,0.8658866286277771,0.9954995512962341,0.8676868081092834,0.43716049332483514,set_transformer_joint,aug_train,,,,
drop0.15_bias6_noise0,0.9297930002212524,0.9297930002212524,0.9981998205184937,0.9315931797027588,0.23825941553371216,set_transformer_joint,aug_train,,,,
bias5_only,0.9468947052955627,0.9468947052955627,0.9981998205184937,0.9477947950363159,0.1945469692738393,set_transformer_joint,aug_train,,,,
noise3_only,0.9396939873695374,0.9396939873695374,0.9972997307777405,0.9423942565917969,0.20938712481868685,set_transformer_joint,aug_train,,,,
clean,0.9540954232215881,0.9540954232215881,1.0,0.9540954232215881,0.22701550123527392,transformer_multitask,aug_train,,,,
dropout_0.05,0.9513951539993286,0.9513951539993286,1.0,0.9513951539993286,0.23111821448851233,transformer_multitask,aug_train,,,,
dropout_0.10,0.9441944360733032,0.9441944360733032,1.0,0.9441944360733032,0.26894050960627686,transformer_multitask,aug_train,,,,
dropout_0.15,0.9414941668510437,0.9414941668510437,1.0,0.9414941668510437,0.28830052291241776,transformer_multitask,aug_train,,,,
dropout_0.20,0.9369937181472778,0.9369937181472778,1.0,0.9369937181472778,0.30096454985446486,transformer_multitask,aug_train,,,,
dropout_0.25,0.9216921925544739,0.9216921925544739,0.9972997307777405,0.922592282295227,0.3409600904082308,transformer_multitask,aug_train,,,,
dropout_0.30,0.9189919233322144,0.9189919233322144,0.9990999102592468,0.9198920130729675,0.3512939584485912,transformer_multitask,aug_train,,,,
dropout_0.35,0.8928893208503723,0.8928893208503723,0.9990999102592468,0.8928893208503723,0.4955742601120826,transformer_multitask,aug_train,,,,
dropout_0.40,0.8865886926651001,0.8865886926651001,0.9954995512962341,0.8865886926651001,0.5345004926277216,transformer_multitask,aug_train,,,,
dropout_0.45,0.881188154220581,0.881188154220581,0.9963996410369873,0.8820882439613342,0.5740177038818947,transformer_multitask,aug_train,,,,
dropout_0.50,0.8631863594055176,0.8631863594055176,0.9954995512962341,0.8649865388870239,0.6524065762463183,transformer_multitask,aug_train,,,,
dropout_0.60,0.7839784026145935,0.7839784026145935,0.9819982051849365,0.786678671836853,1.1078690381655276,transformer_multitask,aug_train,,,,
drop0.25_bias3_noise1,0.937893807888031,0.937893807888031,1.0,0.937893807888031,0.2937077963867239,transformer_multitask,aug_train,,,,
drop0.35_bias4_noise2,0.9036903977394104,0.9036903977394104,0.9981998205184937,0.9036903977394104,0.44296056874478645,transformer_multitask,aug_train,,,,
drop0.40_bias5_noise3,0.8982898592948914,0.8982898592948914,0.9972997307777405,0.8991899490356445,0.4730137250747475,transformer_multitask,aug_train,,,,
drop0.15_bias6_noise0,0.94329434633255,0.94329434633255,1.0,0.94329434633255,0.2951694520124973,transformer_multitask,aug_train,,,,
bias5_only,0.9513951539993286,0.9513951539993286,1.0,0.9513951539993286,0.24323194974934487,transformer_multitask,aug_train,,,,
noise3_only,0.9486948847770691,0.9486948847770691,1.0,0.9486948847770691,0.23711834259123335,transformer_multitask,aug_train,,,,
