scenario,score,joint_accuracy,building_accuracy,floor_accuracy,eval_loss,model,train_regime,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
clean,0.9468947052955627,0.9468947052955627,0.9990999102592468,0.9468947052955627,0.24271829325695707,transformer_joint,clean_train,,,,
dropout_0.05,0.9369937181472778,0.9369937181472778,0.9990999102592468,0.9369937181472778,0.29320740464380685,transformer_joint,clean_train,,,,
dropout_0.10,0.9261926412582397,0.9261926412582397,0.9990999102592468,0.9261926412582397,0.36065281601664617,transformer_joint,clean_train,,,,
dropout_0.15,0.9144914746284485,0.9144914746284485,0.9963996410369873,0.9144914746284485,0.40205888890071995,transformer_joint,clean_train,,,,
dropout_0.20,0.9072907567024231,0.9072907567024231,0.9918991923332214,0.9072907567024231,0.45694239951945126,transformer_joint,clean_train,,,,
dropout_0.25,0.9000900387763977,0.9000900387763977,0.9963996410369873,0.9000900387763977,0.4603814657049926,transformer_joint,clean_train,,,,
dropout_0.30,0.8892889618873596,0.8892889618873596,0.9909991025924683,0.8919892311096191,0.55961137009461,transformer_joint,clean_train,,,,
dropout_0.35,0.84968501329422,0.84968501329422,0.9891989231109619,0.84968501329422,0.698227606197395,transformer_joint,clean_train,,,,
dropout_0.40,0.8559856414794922,0.8559856414794922,0.9837983846664429,0.8577858209609985,0.8187624202667325,transformer_joint,clean_train,,,,
dropout_0.45,0.82268226146698,0.82268226146698,0.9828982949256897,0.8262826204299927,1.1083497501084871,transformer_joint,clean_train,,,,
dropout_0.50,0.7983798384666443,0.7983798384666443,0.9828982949256897,0.801980197429657,1.1901937336883064,transformer_joint,clean_train,,,,
dropout_0.60,0.7290729284286499,0.7290729284286499,0.9756975769996643,0.734473466873169,1.6902818111124391,transformer_joint,clean_train,,,,
drop0.25_bias3_noise1,0.9045904874801636,0.9045904874801636,0.9981998205184937,0.9045904874801636,0.4432886239111048,transformer_joint,clean_train,,,,
drop0.35_bias4_noise2,0.875787615776062,0.875787615776062,0.9963996410369873,0.8766877055168152,0.6870083132914656,transformer_joint,clean_train,,,,
drop0.40_bias5_noise3,0.8325833082199097,0.8325833082199097,0.9918991923332214,0.834383487701416,0.8432472748975299,transformer_joint,clean_train,,,,
drop0.15_bias6_noise0,0.9207921028137207,0.9207921028137207,0.9963996410369873,0.9207921028137207,0.3536453694909891,transformer_joint,clean_train,,,,
bias5_only,0.9369937181472778,0.9369937181472778,0.9972997307777405,0.9369937181472778,0.26367370438913734,transformer_joint,clean_train,,,,
noise3_only,0.9405940771102905,0.9405940771102905,0.9990999102592468,0.9405940771102905,0.28032667996591537,transformer_joint,clean_train,,,,
clean,0.937893807888031,0.937893807888031,0.9990999102592468,0.9387938976287842,0.3147847665981813,set_transformer_joint,clean_train,,,,
dropout_0.05,0.9243924617767334,0.9243924617767334,0.9990999102592468,0.9252925515174866,0.3441005190088339,set_transformer_joint,clean_train,,,,
dropout_0.10,0.9189919233322144,0.9189919233322144,0.9981998205184937,0.9207921028137207,0.39319500215787484,set_transformer_joint,clean_train,,,,
