model,best_epoch,epoch,train_loss,val_loss,score,joint_accuracy,building_accuracy,floor_accuracy,task,family,seed,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
set_transformer_joint,22,22.0,0.0425891954119761,0.250030694366789,0.9594959501851044,0.9594959501851044,1.0,0.9594959501851044,joint,set,42,,,,
set_transformer_joint,25,25.0,0.045825005916953,0.2586051281726006,0.9495949606762396,0.9495949606762396,0.9981998205721432,0.9495949606762396,joint,set,123,,,,
set_transformer_joint,12,12.0,0.1293422407055129,0.2248958280824735,0.9441944206222342,0.9441944206222342,0.9972997305631424,0.9441944206222342,joint,set,999,,,,
transformer_multitask,10,10.0,0.0933645559475666,0.2297658569554183,0.9522952307032424,0.9522952307032424,0.9981998179433156,0.9531953180834156,multitask,standard,42,,,,
transformer_multitask,28,28.0,0.0708987383075593,0.4050020527775281,0.9270927095928244,0.9270927095928244,0.993699368488456,0.9297929796198272,multitask,standard,123,,,,
transformer_multitask,18,18.0,0.040272665213198,0.2352915316766495,0.9531953180834156,0.9531953180834156,0.9990999099909992,0.9540954080924164,multitask,standard,999,,,,
set_transformer_multitask,23,23.0,0.0220974962793071,0.3185639331112243,0.9522952274842696,0.9522952274842696,1.0,0.9522952274842696,multitask,set,42,,,,
set_transformer_multitask,27,27.0,0.0691743009855594,0.6832387316720535,0.9045904575973668,0.9045904575973668,0.9756975697569756,0.9144914476963768,multitask,set,123,,,,
set_transformer_multitask,18,18.0,0.0813044009544955,0.4523433652227789,0.9117911797080568,0.9117911797080568,0.9981998199819982,0.9126912697170576,multitask,set,999,,,,
transformer_coordinate,26,26.0,0.0139495000583633,0.0252343824202015,-12.289708416555724,,,,coordinate,standard,42,0.1404117516031053,0.2220634569745386,12.289708416555724,19.77347268294957
transformer_coordinate,30,30.0,0.0134915708903687,0.0226923397379239,-14.291343051341284,,,,coordinate,standard,123,0.1598507391104255,0.2129464612431394,14.291343051341284,18.847788351931204
transformer_coordinate,29,29.0,0.0171989841116579,0.0276475826514722,-16.631494624861023,,,,coordinate,standard,999,0.1835305783101702,0.2332959572997115,16.631494624861023,21.203462400971805
set_transformer_coordinate,27,27.0,0.009859610949766,0.0113050309709808,-10.42300269641004,,,,coordinate,set,42,0.1172655073093668,0.1492029524749882,10.42300269641004,12.948500471349671
set_transformer_coordinate,27,27.0,0.0105748956661183,0.0245181612442411,-12.0902110895807,,,,coordinate,set,123,0.1349389589353264,0.2124483158682659,12.0902110895807,20.615281945695045
set_transformer_coordinate,29,29.0,0.0110992060937056,0.0179400197376977,-13.878086028365818,,,,coordinate,set,999,0.1507954194023852,0.1884048765742468,13.878086028365818,17.604684001921594
transformer_joint,18,18.0,0.06547541013963334,0.24959042122458466,0.94779477802941,0.94779477802941,0.9990999099909991,0.94779477802941,joint,standard,42,,,,
transformer_joint,23,23.0,0.03158584652230231,0.2660335240790052,0.9468946880204092,0.9468946880204092,0.9990999099909991,0.9468946880204092,joint,standard,123,,,,
transformer_joint,24,24.0,0.023186641607184855,0.24871718968683057,0.9558955875202731,0.9558955875202731,1.0,0.9558955875202731,joint,standard,999,,,,
