model,train_regime,best_epoch,epoch,train_loss,val_loss,score,joint_accuracy,building_accuracy,floor_accuracy,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
transformer_joint,clean_train,48,48.0,0.01181649331255866,0.36975680954224566,0.9432943273942606,0.9432943273942606,1.0,0.9432943273942606,,,,
set_transformer_joint,clean_train,41,41.0,0.01960778502570747,0.36536365430919465,0.9387938779394011,0.9387938779394011,0.9990999079523164,0.9387938779394011,,,,
transformer_multitask,clean_train,21,21.0,0.06250787734532794,0.24046420809602437,0.954995500730245,0.954995500730245,0.9990999079523164,0.954995500730245,,,,
set_transformer_multitask,clean_train,28,28.0,0.08657955503709794,0.30140645854329334,0.9342934278943966,0.9342934278943966,0.9954995479163128,0.9360936079123984,,,,
transformer_coordinate,clean_train,40,40.0,0.010951309020768773,0.012482312649595748,-9.99512243420519,,,,0.11366196086830786,0.15411765197779737,9.99512243420519,13.323050112165708
set_transformer_coordinate,clean_train,50,50.0,0.009855561449015001,0.010812782272562372,-10.13162010506916,,,,0.11332457129633085,0.1464424931406001,10.13162010506916,13.051027774309391
transformer_joint,aug_train,11,11.0,0.10344322709957228,0.22295252071453794,0.945994600050091,0.945994600050091,0.9981998199819982,0.945994600050091,,,,
set_transformer_joint,aug_train,12,12.0,0.1269117005846921,0.22365453151917264,0.9495949574572669,0.9495949574572669,0.9990999099909991,0.9495949574572669,,,,
transformer_multitask,aug_train,20,20.0,0.0748843000347363,0.1899624256455716,0.9585958575472758,0.9585958575472758,1.0,0.9585958575472758,,,,
set_transformer_multitask,aug_train,15,15.0,0.13387554175484687,0.27709963177368513,0.9387938779394011,0.9387938779394011,0.9963996379253137,0.9405940599960856,,,,
transformer_coordinate,aug_train,19,19.0,0.011614110136709484,0.010791548444788055,-9.181858977073516,,,,0.10495758234657272,0.14372567101329697,9.181858977073516,12.14734474935488
set_transformer_coordinate,aug_train,7,7.0,0.01691984708713404,0.02120715616611239,-13.67984983075118,,,,0.15510463369563898,0.20537735171760732,13.67984983075118,17.830126368884002
