scenario,model,score_clean_train,score_aug_train,delta_score
clean,set_transformer_coordinate,-10.13162010506916,-13.679849830751175,-3.548229725682015
dropout_0.05,set_transformer_coordinate,-10.418534638155013,-13.844310166203677,-3.425775528048664
dropout_0.10,set_transformer_coordinate,-10.76322273560046,-14.13961621438054,-3.3763934787800807
dropout_0.15,set_transformer_coordinate,-10.952308333772962,-14.419107122419625,-3.4667987886466634
dropout_0.20,set_transformer_coordinate,-11.297670045825773,-14.71629183956743,-3.418621793741657
dropout_0.25,set_transformer_coordinate,-11.677921384544788,-14.989415037069953,-3.311493652525165
dropout_0.30,set_transformer_coordinate,-12.032147441090187,-15.512732418088353,-3.4805849769981663
dropout_0.35,set_transformer_coordinate,-12.738518182760577,-16.108175795861012,-3.3696576131004345
dropout_0.40,set_transformer_coordinate,-13.539546068993369,-16.687886388477644,-3.1483403194842747
dropout_0.45,set_transformer_coordinate,-14.57884666000448,-17.61440209184519,-3.0355554318407094
dropout_0.50,set_transformer_coordinate,-15.81415161430113,-18.32411189872707,-2.509960284425942
dropout_0.60,set_transformer_coordinate,-17.340107648227818,-20.31074737505831,-2.970639726830491
drop0.25_bias3_noise1,set_transformer_coordinate,-11.814254507250363,-14.398059259385057,-2.5838047521346947
drop0.35_bias4_noise2,set_transformer_coordinate,-12.572670731435988,-14.977078564432631,-2.404407832996643
drop0.40_bias5_noise3,set_transformer_coordinate,-13.641553895597905,-16.284060867368805,-2.6425069717708993
drop0.15_bias6_noise0,set_transformer_coordinate,-11.069016152000904,-13.618007948133853,-2.548991796132949
bias5_only,set_transformer_coordinate,-10.436355195975468,-13.218785862777375,-2.7824306668019076
noise3_only,set_transformer_coordinate,-10.311243765330916,-13.821914885072971,-3.510671119742055
clean,set_transformer_joint,0.9387938976287842,0.9495949745178223,0.010801076889038086
dropout_0.05,set_transformer_joint,0.9342934489250183,0.9468947052955627,0.012601256370544434
dropout_0.10,set_transformer_joint,0.922592282295227,0.9369937181472778,0.014401435852050781
dropout_0.15,set_transformer_joint,0.9153915643692017,0.9252925515174866,0.009900987148284912
dropout_0.20,set_transformer_joint,0.9099910259246826,0.9261926412582397,0.01620161533355713
dropout_0.25,set_transformer_joint,0.9027903079986572,0.911791205406189,0.009000897407531738
dropout_0.30,set_transformer_joint,0.8856886029243469,0.9162916541099548,0.03060305118560791
dropout_0.35,set_transformer_joint,0.8604860901832581,0.8847885131835938,0.024302423000335693
dropout_0.40,set_transformer_joint,0.8613861799240112,0.8766877055168152,0.015301525592803955
