scenario,score,joint_accuracy,building_accuracy,floor_accuracy,eval_loss,model,train_regime,coordinate_mean_euclidean,coordinate_rmse,coordinate_mean_euclidean_m,coordinate_rmse_m
clean,0.9459946155548096,0.9459946155548096,0.9981998205184937,0.9459946155548096,0.22295252071453794,transformer_joint,aug_train,,,,
dropout_0.05,0.9423942565917969,0.9423942565917969,0.9981998205184937,0.9423942565917969,0.22464961201140304,transformer_joint,aug_train,,,,
dropout_0.10,0.9360936284065247,0.9360936284065247,0.9981998205184937,0.9360936284065247,0.25330457936982437,transformer_joint,aug_train,,,,
dropout_0.15,0.9279928207397461,0.9279928207397461,0.9981998205184937,0.9279928207397461,0.2742889916757331,transformer_joint,aug_train,,,,
dropout_0.20,0.9297930002212524,0.9297930002212524,0.9990999102592468,0.9297930002212524,0.2719027756249765,transformer_joint,aug_train,,,,
dropout_0.25,0.9198920130729675,0.9198920130729675,0.9972997307777405,0.9198920130729675,0.2876768514822454,transformer_joint,aug_train,,,,
dropout_0.30,0.9126912951469421,0.9126912951469421,0.9981998205184937,0.9126912951469421,0.3397640798351552,transformer_joint,aug_train,,,,
dropout_0.35,0.8919892311096191,0.8919892311096191,0.9954995512962341,0.8919892311096191,0.4216973481952983,transformer_joint,aug_train,,,,
dropout_0.40,0.8874887824058533,0.8874887824058533,0.9981998205184937,0.8874887824058533,0.42945310535139053,transformer_joint,aug_train,,,,
dropout_0.45,0.8748875260353088,0.8748875260353088,0.9972997307777405,0.8748875260353088,0.5135061297461753,transformer_joint,aug_train,,,,
dropout_0.50,0.8505851030349731,0.8505851030349731,0.994599461555481,0.8514851927757263,0.568982580939893,transformer_joint,aug_train,,,,
dropout_0.60,0.7857785820960999,0.7857785820960999,0.9873987436294556,0.7884788513183594,0.7740027808477812,transformer_joint,aug_train,,,,
drop0.25_bias3_noise1,0.9216921925544739,0.9216921925544739,0.9972997307777405,0.922592282295227,0.2882157475104963,transformer_joint,aug_train,,,,
drop0.35_bias4_noise2,0.8991899490356445,0.8991899490356445,0.9963996410369873,0.9009901285171509,0.3856373339167165,transformer_joint,aug_train,,,,
drop0.40_bias5_noise3,0.8739874362945557,0.8739874362945557,0.9963996410369873,0.8748875260353088,0.47922285315584856,transformer_joint,aug_train,,,,
drop0.15_bias6_noise0,0.9261926412582397,0.9261926412582397,0.9990999102592468,0.9261926412582397,0.29030558190616157,transformer_joint,aug_train,,,,
bias5_only,0.937893807888031,0.937893807888031,0.9990999102592468,0.937893807888031,0.2397808431036616,transformer_joint,aug_train,,,,
noise3_only,0.9351935386657715,0.9351935386657715,0.9981998205184937,0.9351935386657715,0.2391708695156203,transformer_joint,aug_train,,,,
