model_label,task,model,model_family,best_epoch,building_accuracy,floor_accuracy,joint_accuracy,coordinate_mean_euclidean,coordinate_mean_euclidean_m,coordinate_rmse,coordinate_rmse_m,score,val_loss,source_file
CNN,coordinate,cnn_coordinate,cnn,56,,,,0.4497473561129947,42.95232683951171,0.6182302928013385,60.19321727050053,-42.95232683951171,0.1924314954117758,cnn_lstm_baseline_results.csv
CNN,joint,cnn_joint,cnn,22,0.9441944171350136,0.8424842478883471,0.8325832583794821,,,,,0.8325832583794821,0.8269206548359457,cnn_lstm_baseline_results.csv
CNN,multitask,cnn_multitask,cnn,25,0.9711971188535784,0.8181818190938605,0.8073807380738074,,,,,0.8073807380738074,1.052368211166801,cnn_lstm_baseline_results.csv
LSTM,coordinate,lstm_coordinate,lstm,43,,,,0.1285865916042846,11.399430587247542,0.1777379616075683,15.571116392996668,-11.399430587247542,0.015806514370774,cnn_lstm_baseline_results.csv
LSTM,joint,lstm_joint,lstm,22,0.9954995499549956,0.9477947774392652,0.9477947774392652,,,,,0.9477947774392652,0.3703003002516757,cnn_lstm_baseline_results.csv
LSTM,multitask,lstm_multitask,lstm,18,0.99009900990099,0.9504950480564128,0.9414941494149416,,,,,0.9414941494149416,0.3773918335873409,cnn_lstm_baseline_results.csv
MLP,coordinate,mlp_coordinate,mlp,55,,,,0.1106087716985251,9.767192596883971,0.1486026173153922,13.066840063328067,-9.767192596883971,0.011273643619722,mlp_baseline_results.csv
MLP,joint,mlp_joint,mlp,22,0.9954995499549956,0.9090909082325164,0.9081908182235154,,,,,0.9081908182235154,0.5943789184898218,mlp_baseline_results.csv
MLP,multitask,mlp_multitask,mlp,11,0.9972997299729972,0.9108910888406632,0.9108910891089108,,,,,0.9108910891089108,0.404846246504333,mlp_baseline_results.csv
Set Transformer,coordinate,set_transformer_coordinate,set_transformer,44,,,,0.1120037299013734,9.764674393135593,0.1494883419372041,12.678124890233798,-9.764674393135593,0.0113526646259075,transformer_baseline_results.csv
Set Transformer,joint,set_transformer_joint,set_transformer,35,1.0,0.9576957701671028,0.9576957701671028,,,,,0.9576957701671028,0.2282868913843436,transformer_baseline_results.csv
Set Transformer,multitask,set_transformer_multitask,set_transformer,22,0.9963996385154588,0.946894690059092,0.9450945106312352,,,,,0.9450945106312352,0.2470825759008272,transformer_baseline_results.csv
Standard Transformer,coordinate,transformer_coordinate,transformer,39,,,,0.1203216008325936,10.340784203736131,0.1652027367959913,13.908372599765352,-10.340784203736131,0.0146394434387516,transformer_baseline_results.csv
Standard Transformer,joint,transformer_joint,transformer,12,0.9981998179433156,0.9540954101310992,0.9531953201220982,,,,,0.9531953201220982,0.2166446885253318,transformer_baseline_results.csv
Standard Transformer,multitask,transformer_multitask,transformer,36,0.9990999079523164,0.9558955881104182,0.9558955881104182,,,,,0.9558955881104182,0.2373302777965899,transformer_baseline_results.csv
