regime,scenario,model_label,model_family,model,task,metric,metric_value,source_file
aug_train,bias5_only,CNN,cnn,cnn_coordinate,coordinate,coordinate_mean_euclidean_m,43.15502749625601,results_aug.csv|table_robustness_stability_long.csv
aug_train,bias5_only,LSTM,lstm,lstm_coordinate,coordinate,coordinate_mean_euclidean_m,10.804344093368247,results_aug.csv|table_robustness_stability_long.csv
aug_train,bias5_only,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,8.424780358060648,results_aug.csv|table_robustness_stability_long.csv
aug_train,bias5_only,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,13.0145764953572,results_aug.csv|table_robustness_stability_long.csv
aug_train,bias5_only,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,9.259113588049956,results_aug.csv|table_robustness_stability_long.csv
aug_train,clean,CNN,cnn,cnn_coordinate,coordinate,coordinate_mean_euclidean_m,43.49899307156728,results_aug.csv|table_robustness_stability_long.csv
aug_train,clean,LSTM,lstm,lstm_coordinate,coordinate,coordinate_mean_euclidean_m,10.34694210162037,results_aug.csv|table_robustness_stability_long.csv
aug_train,clean,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,8.554964776262214,results_aug.csv|table_robustness_stability_long.csv
aug_train,clean,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,13.468525687047183,results_aug.csv|table_robustness_stability_long.csv
aug_train,clean,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,9.040032392780908,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.15_bias6_noise0,CNN,cnn,cnn_coordinate,coordinate,coordinate_mean_euclidean_m,51.774069746612724,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.15_bias6_noise0,LSTM,lstm,lstm_coordinate,coordinate,coordinate_mean_euclidean_m,11.225356025600162,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.15_bias6_noise0,MLP,mlp,mlp_coordinate,coordinate,coordinate_mean_euclidean_m,8.867849672750806,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.15_bias6_noise0,Set Transformer,set_transformer,set_transformer_coordinate,coordinate,coordinate_mean_euclidean_m,13.407627588526953,results_aug.csv|table_robustness_stability_long.csv
aug_train,drop0.15_bias6_noise0,Standard Transformer,transformer,transformer_coordinate,coordinate,coordinate_mean_euclidean_m,9.672348378162713,results_aug.csv|table_robustness_stability_long.csv
